Ad Name,Ad Set,Campaign,Reporting Starts,Reporting Ends,Impressions,Link Clicks,Amount Spent (USD),3-Second Video Views,Video Watches at 100%,Video Watches at 50%
Real Cooking,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2801,0,36.94,211,76,153
Real Cooking - Amazon,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,119,0,1.83,9,3,8
Real Cooking - Target,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,39,0,0.61,1,0,1
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,91,0,1.52,4,2,3
Real Cooking - Walmart,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,431,1,6.38,38,6,21
Real Cooking,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,42,0,0.89,5,0,2
Real Cooking - Walmart,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,392,1,6.37,14,3,8
Real Cooking - Amazon,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,170,0,3.93,4,0,3
Real Cooking - Target,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,5,0,0.09,0,0,0
Real Cooking - Target,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,112,0,2.43,3,0,0
Real Cooking - Amazon,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,312,0,7.71,5,2,3
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,741,1,13.9,25,7,17
Real Cooking - Walmart,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,223,0,4.3,13,3,10
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,504,1,10.43,15,7,11
Real Cooking,Real Cooking - F 8-12 - Gifts,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,6,0,0.1,0,0,0
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,34,0,0.43,1,1,1
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,375,0,5.34,17,5,13
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,57,0,0.82,1,0,1
Real Cooking - Toys R Us,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,38,0,0.58,4,0,1
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1652,2,17.88,71,26,48
Real Cooking - Toys R Us,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,2,0,0.03,1,0,1
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1,0,0.01,0,0,0
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,14,0,0.17,1,0,0
Real Cooking - Toys R Us,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,5,0,0.08,1,0,1
Real Cooking - Toys R Us,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,86,0,1.11,2,1,1
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,18,0,0.03,1,0,1
Real Cooking - Target,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,15,0,0.25,0,0,0
Real Cooking - Target,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,255,2,3.15,7,1,4
Real Cooking - Target,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,611,2,8.46,27,15,24
Real Cooking - Target,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,40,0,0.41,1,0,0
Real Cooking - Target,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,6,0,0.06,1,1,1
Real Cooking - Target,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,40,0,0.45,0,0,0
Real Cooking - Target,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,76,0,0.97,5,1,3
Real Cooking - Target,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,2,0,0.02,0,0,0
Real Cooking - Target,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,859,2,9.32,35,7,27
Real Cooking - Target,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,33,0,0.47,0,0,0
Real Cooking - Target,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1394,3,4.68,104,42,90
Real Cooking - Target,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,90,0,1.42,3,1,3
Real Cooking - Walmart,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,11,0,0.16,1,1,1
Real Cooking - Walmart,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,318,0,3.95,18,5,17
Real Cooking - Walmart,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,111,0,1.16,4,2,3
Real Cooking - Walmart,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,317,0,4.75,15,8,13
Real Cooking - Walmart,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,4,0,0.06,0,0,0
Real Cooking - Walmart,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,41,1,0.4,4,1,3
Real Cooking - Walmart,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,9,0,0.05,0,0,0
Real Cooking - Walmart,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3212,6,33.61,122,45,99
Real Cooking - Walmart,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,3,0,0.01,0,0,0
Real Cooking - Walmart,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,730,1,7.29,21,5,17
Real Cooking - Amazon,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,384,0,4.56,16,4,11
Real Cooking - Amazon,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1606,2,19.96,58,16,37
Real Cooking - Amazon,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1,0,0.0,0,0,0
Real Cooking - Amazon,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,41,0,0.43,4,1,2
Real Cooking - Amazon,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,20,0,0.03,1,0,1
Real Cooking - Amazon,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1,0,0.01,0,0,0
Real Cooking - Amazon,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,849,1,10.56,37,9,28
Real Cooking - Amazon,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,48,0,0.7,1,0,1
Real Cooking - Amazon,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,1,0,0.02,0,0,0
Real Cooking - Amazon,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,27,0,0.39,0,0,0
Real Cooking - Amazon,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,216,0,2.41,10,4,6
Real Cooking - Amazon,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Instagram,2016-12-01,2016-12-01,2712,3,34.87,111,36,81
Real Cooking - Walmart,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,327,2,2.87,25,18,24
Real Cooking - Walmart,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,4307,8,36.87,307,83,190
Real Cooking - Walmart,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,9,0,0.04,0,0,0
Real Cooking - Walmart,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,175,0,1.35,12,9,12
Real Cooking - Walmart,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3387,18,25.01,199,67,129
Real Cooking - Walmart,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3235,3,27.61,198,43,116
Real Cooking - Walmart,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,12,0,0.2,1,1,1
Real Cooking - Walmart,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,800,2,6.06,51,18,30
Real Cooking - Walmart,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,31,0,0.37,1,1,1
Real Cooking - Walmart,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,459,0,4.82,38,4,19
Real Cooking - Walmart,Real Cooking - F 8-12 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3038,7,29.49,278,61,143
Real Cooking - Walmart,Real Cooking - F 5-7 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,77,0,0.27,8,5,6
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,10,0,0.06,1,0,1
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Movies,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,500,1,4.33,33,10,25
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Toys,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,361,0,2.98,36,10,25
Real Cooking - Toys R Us,Real Cooking - F 8-12 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,1536,2,11.08,98,35,69
Real Cooking - Toys R Us,Real Cooking - F 5-7 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,119,0,1.02,12,4,6
Real Cooking - Toys R Us,Real Cooking - F 8-12 - TV Shows,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,24,0,0.24,1,0,0
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Games,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,3544,16,31.87,273,71,158
Real Cooking - Toys R Us,Real Cooking - F 5-7 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,67,0,0.8,11,4,7
Real Cooking - Toys R Us,Real Cooking - F 5-7 - YouTube,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,48,0,0.45,4,2,4
Real Cooking - Toys R Us,Real Cooking - F 8-12 - Music,Real Cooking - Video Views - Facebook,2016-12-01,2016-12-01,2596,7,19.36,131,69,109
